ds,alpha,ncells,ngenes,ngenes_filt,sbar,raw,PF,sqrt,log1p,log1pCP10k,log1pCPM,scalelog1pCP10k,log1pPF,PFlogPF
ERX2756721,3.01000,9293,14632,663,269.099,10.34112,10.34112,1.32117,1.39218,0.25627,0.45095,0.66866,1.39218,0.06544
ERX2756722,0.85000,4916,14858,1844,775.645,9.35864,9.35864,0.67048,0.98080,0.20824,0.54447,0.57519,0.98080,0.29572
ERX2756723,2.29000,7564,28990,9540,6257.813,17.23835,17.23835,2.41789,1.18694,0.84220,0.50991,0.18860,1.18694,0.08844
ERX2756724,0.55000,6415,11575,527,215.137,6.83848,6.83848,0.33378,0.77675,0.44321,0.58355,0.77902,0.77675,0.43947
ERX2756725,0.40000,1754,2087,137,36.692,1.92001,1.92001,0.07295,0.52699,0.43951,0.47042,0.77170,0.52699,0.39974
ERX2756726,2.72000,2036,20989,8093,5810.495,13.46816,13.46816,2.81397,1.29957,0.87824,0.48624,0.23309,1.29957,0.07613
ERX2756727,9.02000,7125,28393,9182,7101.676,16.28882,16.28882,4.31179,1.65552,1.35366,0.25669,0.34085,1.65552,0.08491
ERX2756728,0.13000,4529,22285,4985,3231.211,24.64169,24.64169,0.45353,0.57072,0.26242,0.56129,0.35715,0.57072,0.87578
ERX2756729,70.01000,73299,24701,611,273.868,10.83225,10.83225,2.58468,2.07817,0.18869,0.07251,0.54337,2.07817,0.03420
ERX2756730,1.06000,4249,27010,10821,11934.184,41.33155,41.33155,3.43671,0.89529,1.02397,0.58511,0.26751,0.89529,0.20449
ERX2756731,29.50193,77083,30155,2859,1025.570,8.03506,8.03506,2.38522,2.30944,0.50525,0.13299,0.35341,2.30944,0.05680
ERX2756732,1.68000,6045,30145,11766,12689.699,16.42948,16.42948,3.09138,0.97864,1.14852,0.55386,0.19810,0.97864,0.11843
ERX2756733,0.79000,6259,29621,11194,15203.591,13.83578,13.83578,2.46607,0.72995,0.98210,0.67043,0.21951,0.72995,0.24606
ERX2756735,3.14000,8272,28264,9443,9328.005,12.87105,12.87105,3.55597,1.27141,1.21579,0.45299,0.30786,1.27141,0.07262
ERX2756736,0.37231,4996,17359,1604,1386.513,17.43066,17.43066,2.05044,0.74940,0.17568,0.54977,0.57626,0.74940,0.54353
ERX2756737,2.31000,2996,16772,3339,1747.413,22.63451,22.63451,2.55011,1.42311,0.24379,0.48420,0.47204,1.42311,0.09595
ERX2756738,0.19000,1443,22912,11341,16574.656,29.45919,29.45919,1.51131,0.53272,0.74292,0.66291,0.18678,0.53272,0.63940
ERX2756739,1.75000,604,8338,3789,1946.392,12.81746,12.81746,1.76219,1.26138,0.23276,0.51782,0.46459,1.26138,0.13469
ERX2756740,3.11000,7265,28165,9272,7083.865,19.45108,19.45108,3.43110,1.36844,1.07611,0.45064,0.24566,1.36844,0.06980
ERX2756741,1.33000,2614,25301,11027,18009.215,14.10142,14.10142,3.58742,0.94605,1.39206,0.56180,0.49831,0.94605,0.15714
ERX2756742,11.65000,5556,26199,8684,7089.147,14.85560,14.85560,4.38866,1.72078,1.41999,0.21350,0.31592,1.72078,0.08506
GSM2560245,0.31000,3679,16020,2650,1373.172,17.16924,17.16924,0.54225,0.70472,0.19855,0.57088,0.53934,0.70472,0.59034
GSM2560248,0.64000,15707,23455,3279,1608.997,26.30559,26.30559,1.29511,0.85031,0.15096,0.55167,0.46181,0.85031,0.35777
GSM2786157,1.02000,666,25983,17018,41392.503,22.53614,22.53614,5.11825,0.76428,1.84299,0.50090,0.53723,0.76428,0.18895
GSM2786158,0.48000,753,25358,16104,26780.347,35.81135,35.81135,3.70587,0.61084,1.22985,0.60788,0.19062,0.61084,0.35936
GSM2803967,0.26712,266,13506,9327,7588.282,45.23902,45.23902,1.40099,0.58546,0.48158,0.59626,0.27655,0.58546,0.55898
