method,displacement
PFlog1pPF,0.004583420929681938
PFlog1pPF,0.006102373940669413
PFlog1pPF,0.004235097257051693
PFlog1pPF,0.0041937755372742054
PFlog1pPF,0.004274163520970209
PFlog1pPF,0.005729856674634764
PFlog1pPF,0.004836682052510518
PFlog1pPF,0.006022839302087389
PFlog1pPF,0.0195606878359964
PFlog1pPF,0.0037991128234238273
PFlog1pPF,0.0046278652988193305
PFlog1pPF,0.006584548484558176
PFlog1pPF,0.006447993690810173
PFlog1pPF,0.003917560545767466
PFlog1pPF,0.005541563497746338
PFlog1pPF,0.005325112613858368
PFlog1pPF,0.007008136969453046
PFlog1pPF,0.003404860799364925
PFlog1pPF,0.00412100138305172
PFlog1pPF,0.008333209125742246
PFlog1pPF,0.005619910951933542
PFlog1pPF,0.006733903215343747
PFlog1pPF,0.003680895592975394
PFlog1pPF,0.0033706777010860363
PFlog1pPF,0.00755337913811751
PFlog1pPF,0.003493402284621324
PFlog1pPF,0.0035929830577736376
PFlog1pPF,0.003969102744435337
PFlog1pPF,0.004460980213620042
PFlog1pPF,0.003973322095428731
PFlog1pPF,0.006385858331654087
PFlog1pPF,0.0036549899969092704
PFlog1pPF,0.0031253948428757593
PFlog1pPF,0.004227892258172491
PFlog1pPF,0.0037706071783241042
PFlog1pPF,0.0051234542985299225
PFlog1pPF,0.004347115943240955
PFlog1pPF,0.006517667468020103
PFlog1pPF,0.005039039445428059
PFlog1pPF,0.004957246464662036
PFlog1pPF,0.004672041592002523
PFlog1pPF,0.00575527083408459
PFlog1pPF,0.005807224088273465
PFlog1pPF,0.005279215586348083
PFlog1pPF,0.0030674741717088123
PFlog1pPF,0.0045585253553291185
PFlog1pPF,0.009788009297395515
PFlog1pPF,0.005713670884379927
PFlog1pPF,0.005058882418611439
PFlog1pPF,0.00466337333922273
PFlog1pPF,0.005485939377464187
PFlog1pPF,0.0034640667906831496
PFlog1pPF,0.0047351472017290236
PFlog1pPF,0.005817252258909537
PFlog1pPF,0.004265610701431373
PFlog1pPF,0.005161330006703536
PFlog1pPF,0.004378801302003151
PFlog1pPF,0.0033513719777163117
PFlog1pPF,0.003634992874052786
PFlog1pPF,0.002779217728234463
PFlog1pPF,0.004357702990510027
PFlog1pPF,0.005542930687293382
PFlog1pPF,0.004596819587882047
PFlog1pPF,0.0046967587222845365
PFlog1pPF,0.004260818137912671
PFlog1pPF,0.0025346936242593735
PFlog1pPF,0.004569909418902008
PFlog1pPF,0.0038494811451730824
PFlog1pPF,0.006238176289475535
PFlog1pPF,0.003116718756253037
PFlog1pPF,0.005210505883756599
PFlog1pPF,0.004654999155058396
PFlog1pPF,0.0039262414879003005
PFlog1pPF,0.010988054562398415
PFlog1pPF,0.002124939141345467
PFlog1pPF,0.003911652322077877
PFlog1pPF,0.0025267361983141927
PFlog1pPF,0.004091858090851466
PFlog1pPF,0.0032279497132817457
PFlog1pPF,0.004708791716035902
PFlog1pPF,0.005071665158188979
PFlog1pPF,0.00463072393496295
PFlog1pPF,0.0043072315370467
